monogram_id,labels_saranga,labels_ezechiel,labels_barry,quality_label,Remarks,Remarks2,split
114__2.9__315,1,M0,M2,2,clash,half of it is missing,train
322__3.24__369,1,M1,M2,1,,,train
208__5.250__433,1,M1,M2,1,,,train
266__2.43__752,2,M2,M2,2,,,train
50__3.16__440,0,M0,M0,0,,,train
190__5.147__40,2,M1,M2,2,,,train
I__2.9__315,1,M2,M2,1,no major damage,,train
184__3.13__443,2,M0,M2,2,"Why M0, eze?",,train
332__8.37__631,2,M1,M2,2,,,train
199__5.55-56__161,1,M2,M2,1,no major damage,,train
249__4.36__696,1,M0,M2,2,clash,,train
325__5.200__113,1,M2,M1,1,,,train
281__5.204__646,1,M0,M2,2,clash,,train
75__5.59__100,0,M2,M0,0,Why M2 eze?,,train
18__5.12__753,2,M2,M3,2,,,train
15__5.7__56,2,M2,M2,2,,,train
38__5.41__130,2,M2,M3,2,,,train
284__8.41__477,1,M2,M2,2,,,train
101__5.76-77__335,0,M1,M1,0,very clear,,train
106__5.81__189,2,M1,M2,2,,,train
186__2.31__208,1,M1,M2,1,,,train
97__3.35__368,1,M2,M2,2,,,train
105__4.11__63,0,M1,M1,0,very clear,Why M1 barry eze?,train
89__4.20__328,1,M3,M1,1,,,train
299__5.220__160,1,M2,M1,1,,,train
264__5.193-195__458,0,M0,M1,0,,,train
144__5.244__221,1,M1,M2,1,,,train
94__5.73__170,1,M2,M2,2,,,train
205__5.156__454,1,M1,M2,1,,,train
267__8.32__578,2,M2,M3,2,,,train
263__2.16__110,1,M0,M2,1,clash,partially broken top ligature,train
307__3.49__114,0,M2,M0,0,,,train
327__8.35__530,2,M2,M2,2,,,train
259__2.28__720,1,M1,M2,1,,,train
286__5.209__256,2,M1,M2,2,,,train
72__3.36__775,2,M2,M3,2,,,train
244__5.184__148,0,M0,M2,0,,,train
52__5.9__319,1,M1,M2,1,,,train
24__8.17__438,0,M1,M0,0,,,train
165__5.143__225,1,M1,M2,1,,,train
127__5.102__502,2,M1,M2,2,,,train
197__5.152__188,0,M2,M1,1,clash,"confusion, other symbols present",train
254__5.32__261,1,M1,M2,1,,,train
211__5.159__318,1,M1,M2,1,,,train
313__7.6__499,1,M1,M2,1,,,train
163__8.27__800,2,M2,M2,2,,,train
154__8.44__395,1,M1,M2,1,,,train
198__3.33__320,1,M1,M2,1,,,train
87__4.6__53,1,M2,M2,1,only contrast problem,,train
219__3.19__42,2,M3,M3,3,,,train
195__2.27__491,2,M1,M2,2,,,train
209__3.20__658,3,M2,M2,3,not legible,,train
47__5.44__16,0,M1,M0,0,,,train
164__5.144__226,1,M1,M1,1,,,train
40__8.18__584,0,M0,M0,0,,,train
242__2.21__309,2,M1,M2,2,,,train
103__5.79__715,2,M0,M3,2,clash,"why M3 barry, why M0 eze?",train
51__5.43__337,2,M2,M2,2,,,train
68__4.12__214,1,M2,M3,1,clash,only contrast problem,train
310__3.44__446,1,M2,M0,1,clash,,train
202__3.18__374,1,M1,M2,1,,,train
100__5.75__215,1,M2,M3,2,clash,,train
252__5.189__605,1,M1,M2,1,,,train
204__5.155__78,1,M1,M2,1,,,train
27__2.6__38,1,M2,M1,1,,,train
